Email Address,Full Name,Academic Year
aarav.patel@example.com,Aarav Patel,I
diya.reddy@example.com,Diya Reddy,III
ishaan.sharma@example.com,Ishaan Sharma,I
meera.iyer@example.com,Meera Iyer,II
rohan.menon@example.com,Rohan Menon,III
anaya.das@example.com,Anaya Das,II
karan.kumar@example.com,Karan Kumar,II
saanvi.gupta@example.com,Saanvi Gupta,I
arjun.nair@example.com,Arjun Nair,III
nisha.rao@example.com,Nisha Rao,II
vikram.singh@example.com,Vikram Singh,I
riya.joshi@example.com,Riya Joshi,I
dev.mehta@example.com,Dev Mehta,II
priya.chopra@example.com,Priya Chopra,I
kabir.verma@example.com,Kabir Verma,III
tara.bhat@example.com,Tara Bhat,I
ravi.shetty@example.com,Ravi Shetty,II
sneha.malik@example.com,Sneha Malik,III
aditya.pillai@example.com,Aditya Pillai,I
maya.ghosh@example.com,Maya Ghosh,I
